Movie,StoryLine
"In the Dark
TV Series
2019–2022
TV-14
42m",A blind young woman tries to solve her friend's murder.
"Vikings
TV Series
2013–2020
TV-MA
44m","The adventures of a Ragnar Lothbrok: the greatest hero of his age. The series tells the saga of Ragnar's band of Viking brothers and his family as he rises to become King of the Viking tribes. As well as being a fearless warrior, Ragnar embodies the Norse traditions of devotion to the gods: legend has it that he was a direct descendant of Odin, the god of war and warriors. —History Channel"
"The Mandalorian
TV Series
2019–
TV-14
40m","After the stories of Jango and Boba Fett, another warrior emerges in the Star Wars universe. The Mandalorian is set after the fall of the Empire and before the emergence of the First Order. We follow the travails of a lone gunfighter in the outer reaches of the galaxy far from the authority of the New Republic."
"The Gray Man
2022
PG-13
2h 2m","Six, a highly-skilled assassin in the deep-cover Sierra program of the CIA, is the agency's best merchant of death. However, a mission goes bad and now Six is on the run from the CIA with sociopathic former agent Lloyd Hansen hot on his trail. Aided by agent Dani Miranda and handler Donald Fitzroy, Six must be his most ruthless to avoid Hansen, who will stop at nothing to bring Six down. —Diane"
"Jurassic World Dominion
2022
PG-13
2h 27m", 
"Kantara
2022
2h 28m","Depicting Supreme God Vishnu's third incarnation on earth called Varaha avtar. The forest tribal community devote to Varaha and considers bhootakola(divine dance of coastal kannada) performer to rudra demigod(Lord Shiva) who is gatekeeper of the community and protects every devotee of Lord Varaha from evil spirits(living/dead).. A promise of ancestors is under threat to be breached by people over lust of materialistic gains where the ancient king had made deal with demigods as bargain for his peace. With such powerful storyline, excellent performance by every actor keeping raw background showing beautiful traditional practices of coastal Karnataka in an ultimate showdown of good vs evil."
"Chicago Fire
TV Series
2012–
TV-14
43m","The story of firefighters and paramedics in the city of Chicago, both on a personal and professional level."
"The Last Kingdom
TV Series
2015–2022
TV-MA
1h","In the year 872, many of the separate kingdoms of what is now England have fallen to the invading Danes, leaving the great kingdom of Wessex standing alone and defiant under the command of King Alfred. Against this turbulent backdrop lives Uhtred. Born to a Saxon nobleman, he is captured by the Danes and raised as one of their own. Forced to choose between his birth country and the people of his upbringing, his loyalties are ever tested. What is he? Saxon or Dane? On a quest to reclaim his birthright, Uhtred must tread a dangerous path between both sides to play his part in the birth of a new nation and--ultimately--recapture his ancestral lands."
"9-1-1
TV Series
2018–
TV-14
43m","Explores the high-pressure experiences of police, paramedics and firefighters who are thrust into the most frightening, shocking, and heart-stopping situations. They must try to balance saving people with solving problems in their own lives. —ahmetkozan"
"Daredevil
TV Series
2015–2018
TV-MA
54m", 
"Dahmer - Monster: The Jeffrey Dahmer Story
TV Mini Series
2022
TV-MA
8h 54m","One of America's most notorious serial killers, largely told from the point of view of Jeffrey Dahmer's victims, and dives deeply into the police incompetence and apathy that allowed the Wisconsin native to go on a multiyear killing spree. The series dramatizes at least 10 instances where Dahmer was almost apprehended but ultimately let go. The series also is expected to touch on ,Dahmer, a cleancut, good-looking guy, was repeatedly given a free pass by cops as well as by judges who were lenient when he had been charged with petty crimes."
"Andor
TV Series
2022–
TV-14
40m","The series will explore a new perspective from the Star Wars galaxy, focusing on Cassian Andor's journey to discover the difference he can make. The series brings forward the tale of the burgeoning rebellion against the Empire and how people and planets became involved. It's an era filled with danger, deception and intrigue where Cassian will embark on the path that is destined to turn him into a rebel hero. —Disney+ Media"
"The Walking Dead
TV Series
2010–2022
TV-MA
44m","Sheriff Deputy Rick Grimes gets shot and falls into a coma. When awoken he finds himself in a Zombie Apocalypse. Not knowing what to do he sets out to find his family, after he's done that, he gets connected to a group to become the leader. He takes charge and tries to help this group of people survive, find a place to live and get them food. This show is all about survival, the risks and the things you'll have to do to survive. —jzirkle1"
"Bullet Train
2022
R
2h 7m","Unlucky assassin Ladybug (Brad Pitt) is determined to do his job peacefully after one too many gigs has gone off the rails. Fate has other plans, however: Ladybug's latest mission puts him on a collision course with lethal adversaries from around the globe--all with connected, yet conflicting, objectives--on the world's fastest train. The end of the line is just the beginning in this non-stop thrill-ride through modern-day Japan."
"Don't Worry Darling
2022
R
2h 3m",A 1950s housewife living with her husband in a utopian experimental community begins to worry that his glamorous company could be hiding disturbing secrets.
"Black Panther: Wakanda Forever
2022
2h 41m","Queen Ramonda, Shuri, M'Baku, Okoye and the Dora Milaje fight to protect the kingdom of Wakanda from intervening world powers in the wake of King T'Challa's death. As the Wakandans strive to embrace their next chapter, the heroes must band together with the help of War Dog Nakia and Everett Ross and forge a new path for their nation."
"Hellraiser
2022
R
2h 1m","A take on Clive Barker's 1987 horror classic where a young woman struggling with addiction comes into possession of an ancient puzzle box, unaware that its purpose is to summon the Cenobites, a group of sadistic supernatural beings from another dimension. —Hulu"
"Werewolf by Night
TV Special
2022
TV-14
52m","On a dark and somber night, a secret cabal of monster hunters emerge from the shadows and gather at the foreboding Bloodstone Temple following the death of their leader. In a strange and macabre memorial to the leader's life, the attendees are thrust into a mysterious and deadly competition for a powerful relic--a hunt that will ultimately bring them face to face with a dangerous monster. —Disney+"
"American Horror Story
TV Series
2011–
TV-MA
1h","Physical and psychological horrors affect a decomposing family, workers and residents of an insane asylum, a coven of witches, a cast of circus freaks, the employees and guests at a struggling hotel, a family who moved into a mysterious farmhouse, the members of a small suburb in Michigan, the surviving members of the Apocalypse and the counselors of a creepy summer camp in this haunting anthology series, focusing on the themes of infidelity, sanity, oppression, discrimination, addiction and exploitation."
"Lou
2022
R
1h 47m","A massive storm rages. A young girl is kidnapped. Her mother, with no other option, teams up with the mysterious older woman next door to pursue the kidnapper a journey into the wilderness that will test their limits and expose dark and shocking secrets from their pasts."
"The Handmaid's Tale
TV Series
2017–
TV-MA
1h", 
"The Midnight Club
TV Series
2022–
TV-MA
1h","A group of terminally ill teenage patients resides at Brightcliffe Hospice, and together they create the Midnight Club. They meet in secret at midnight to tell horror stories. Together the group forms a pact, that whoever dies first would make the effort to contact the rest of the Midnight Club members from beyond the grave."
"Breaking Bad
TV Series
2008–2013
TV-MA
49m", 
"Luckiest Girl Alive
2022
R
1h 53m","A Sharp-Tongued New Yorker who appears to have it all: a sought-after position at a glossy magazine, a killer wardrobe, and a dream Nantucket wedding on the horizon. But when the director of a crime documentary invites her to tell her side of the shocking incident that took place when she was a teenager at the prestigious Brentley School, Ani is forced to confront a dark truth that threatens to unravel her meticulously crafted life."
"Stranger Things
TV Series
2016–
TV-14
51m","In a small town where everyone knows everyone, a peculiar incident starts a chain of events that leads to a child's disappearance, which begins to tear at the fabric of an otherwise-peaceful community. Dark government agencies and seemingly malevolent supernatural forces converge on the town, while a few of the locals begin to understand that more is going on than meets the eye. —Charles J."
"X
2022
R
1h 45m","Set in 1979, adult movie actors and a small film crew arrive to a farmhouse occupied by an elderly couple in the desolate Texas countryside to film an adult movie. As the day shifts to night, the visitors slowly realize that they are not safe, and are being targeted by a nearby enemy."
"Last Seen Alive
2022
R
1h 35m",Will's soon-to-be ex-wife mysteriously vanishes at a gas station. He delves into the town's criminal underbelly while running from the authorities in a race against time to find her.
"Jeepers Creepers: Reborn
2022
R
1h 28m","The film unfolds as the Horror Hound festival holds its first ever event in Louisiana, where it attracts hundreds of geeks, freaks and die-hard horror fans from far and wide. Among them is fanboy Chase and his girlfriend Laine, who is forced to come along for the ride. But as the event approaches, Laine begins to experience unexplained premonitions and disturbing visions associated with the town's past, and in particular, local legend/urban myth The Creeper. As the festival arrives and the blood-soaked entertainment builds to a frenzy, Laine believes that something unearthly has been summoned and that she is at the center of it. —haidencharles"
"Barbarian
2022
R
1h 42m","In town for a job interview, a young woman arrives at her Airbnb rental late at night only to find that the house has been mistakenly double-booked and a strange man is already staying there. Against her better judgment, she decides to stay the night anyway, but soon discovers that there is much more to be afraid of in the house than the other house guest."
"Cyberpunk: Edgerunners
TV Series
2022–
TV-MA
24m","A Street Kid trying to survive in a technology and body modification-obsessed city of the future. Having everything to lose, he chooses to stay alive by becoming an Edgerunner, a Mercenary outlaw also known as a Cyberpunk."
"Inside Man
TV Mini Series
2022
59m","A prisoner on death row in the US and a woman trapped in a cellar under an English vicarage, cross paths in the most unexpected way."
"The Old Man
TV Series
2022–
TV-MA
1h 1m",A former CIA officer who's living off the grid finds himself on the run from people who want to kill him.
"Halloween Ends
2022
R
1h 51m","Four years after the events of Halloween Kills, Laurie is living with her granddaughter Allyson and is finishing writing her memoir. Michael Myers hasn't been seen since. Laurie, after allowing the specter of Michael to determine and drive her reality for decades, has decided to liberate herself from fear and rage and embrace life. But when a young man, Corey Cunningham, is accused of killing a boy he was babysitting, it ignites a cascade of violence and terror that will force Laurie to finally confront the evil she can't control, once and for all."
"Fall
2022
PG-13
1h 47m", 
"Emancipation
2022",A runaway slave forges through the swamps of Louisiana on a tortuous journey to escape plantation owners that nearly killed him.
"Vikram Vedha
2022
2h 40m",Vikram an encounter specialist raids a place killing all the gangsters who work for a dreaded gangster Vedha but fails to get any information on his hide out.Vedha has spread his fear over the region by killing around 16 people and is currently underground due to fear of being arrested.Vikram finds about his hideout and before he could leave with his team surprisingly Vedha comes and surrenders himself at police headquarters.During interrogation Vedha is mum but opens up only when Vikram interrogates him where he revels him about his past on how from small goon he turned a gangster.But within next few minutes Vedha is given bail by his lawyer Priya whose wife of Vikram.Vikram realizes that Vedha has some plan of getting himself arrested and then bailing himself out within no time leaving him with an unsolved mystery. —alex.mjacko@gmail.com
"Bad Sisters
TV Series
2022–
TV-MA
53m", 
"Violent Night
2022
R
1h 41m","A team of elite mercenaries breaks into a wealthy family compound on Christmas Eve, taking everyone inside hostage. But the team isn't prepared for a surprise combatant: Santa Claus is on the grounds, and he's about to show why this Nick is no saint. —Justin Kroll"
"Inheritance
2020
TV-MA
1h 51m","The patriarch of a wealthy and powerful family suddenly passes away, leaving his daughter with a shocking secret inheritance that threatens to unravel and destroy the family."
"Big Sky
TV Series
2020–
TV-14
1h","Private detective Cassie Dewell partners with ex-cop Jenny Hoyt on a search for two sisters who have been kidnapped by a truck driver on a remote highway in Montana. When they discover that these are not the only girls who have disappeared in the area, they must race against the clock to stop the perpetrator before another woman is taken. —mikkiparker"
"The Patient
TV Mini Series
2022
TV-MA
30m", 
"Where the Crawdads Sing
2022
PG-13
2h 5m","Abandoned by her family, Kya Clark, otherwise known to the townspeople of Barkley Cove as the Marsh Girl, is mysterious and wild. ""Where the Crawdads Sing"" is a coming-of-age story of a young girl raised by the marshlands of the south in the 1950s. When the town hotshot is found dead, and inexplicably linked to Kya, the Marsh Girl is the prime suspect in his murder case."
"NCIS
Original title: NCIS: Naval Criminal Investigative Service
TV Series
2003–
TV-14
1h","Special Agent Leroy Jethro Gibbs is the leader of a team of special agents belonging to the NCIS (Naval Criminal Investigative Service) Major Case Response Team. Gibbs, a former Marine, is a tough investigator and a highly skilled interrogator who relies on his gut instinct as much as evidence. Gibbs' second in command is Senior Field Agent Tony DiNozzo, a womanizing, movie-quoting former Baltimore Homicide Detective, who despite being the class clown always gets the job done. The team also consists of probationary field agent Eleanor Bishop, a former NSA agent, as well as Junior Field Agent Timothy McGee, a computer-savvy agent often mocked by DiNozzo. Assisting them are Abby Sciuto, the energetic-but-Goth lab tech who is like a daughter to Gibbs, and Dr. Donald Mallard, nicknamed Ducky, the eccentric medical examiner full of unusual stories. This team of elite agents, based in Washington, D.C., solve criminal cases involving Marine and Navy personnel and their families, sometimes traveling the United States - or the world - to do it."
"Law & Order: Special Victims Unit
TV Series
1999–
TV-14
1h","In the criminal justice system, sexually based offenses are considered especially heinous. In New York City, the dedicated detectives who investigate these vicious felonies are members of an elite squad known as the Special Victims Unit. These are their stories. —John Craig"
"Nope
2022
R
2h 10m","After random objects falling from the sky result in the death of their father, ranch-owning siblings OJ and Emerald Haywood attempt to capture video evidence of an unidentified flying object with the help of tech salesman Angel Torres and documentarian Antlers Holst. —Universal Pictures"
"Supernatural
TV Series
2005–2020
TV-14
44m","John Winchester raised his two sons Sam and Dean to hunt and kill all things that go ""bump in the night"" after his wife Mary was murdered by an evil supernatural being when the boys were little. 22 years later the brothers set out on a journey, fighting evil along the way, to find their recently-missing father; when they finally do he reveals he knows what demon killed their mother and has found a way to track and kill it. Meanwhile, Sam develops frightening abilities such as seeing visions of people dying before it actually happens. These visions are somehow connected to the demon that murdered his mother and its mysterious plans that seem to be all about Sam. When their father dies striking a deal with that very same demon, the brothers determine to finish his crusade. But disturbing revelations about Sam's part in the demon's apocalyptic plan are presented when John's dying last words to Dean are revealed. —Rachel B."
"Hellraiser
1987
R
1h 34m","When Kirsty's father, Larry, and stepmother, Julia, move into Larry's childhood home, Kirsty and her boyfriend take a room nearby. Unfortunately for all involved, Larry's house is already occupied: before the family's arrival, Larry's disreputable brother, Frank, used a supernatural puzzle box to summon a gang of other-dimensional demon sadists. Now, Frank requires a series of blood sacrifices to escape the clutches of Pinhead and the cenobites. —mrosesteed"
"Significant Other
2022
R
1h 24m",Follows a young couple who take a remote backpacking trip through the Pacific Northwest and face sinister events leading them to realize that everything about the place is not as it seems.
"Athena
2022
R
1h 39m","Hours after the tragic death of their youngest brother in unexplained circumstances, three siblings have their lives thrown into chaos."
"The Blacklist
TV Series
2013–
TV-14
43m","A highly articulate, erudite and intelligent businessman and mastermind, ""Red"" Reddington, has allegedly been on the ""10 Most Wanted List"" of various U.S. law enforcement agencies for over 20 years. The legend is that Red is as elusive as he is clever, controlling a labyrinth of creative enterprises, coupled with uncanny ability to gather and finesse information at the drop of a hat. On the first day at FBI for a new female profiler fresh out of Quantico, Red offers to bandy wits with the FBI. Red promises to deliver various criminals and plots previously unknown to any branch of law enforcement... and all Red requests in return is to choose his muse. —LA-Lawyer"
"Severance
TV Series
2022–
TV-MA
55m","Mark leads a team of office workers whose memories have been surgically divided between their work and personal lives. When a mysterious colleague appears outside of work, it begins a journey to discover the truth about their jobs."
"Chucky
TV Series
2021–
TV-MA
42m","In this TV series adaptation, titled ""Chucky,"" a vintage Chucky doll turns up at a suburban yard sale, and an idyllic American town is thrown into chaos as a series of horrifying murders begin to expose the town's hypocrisies and secrets. Meanwhile, the arrival of enemies and allies from Chucky's past threatens to expose the truth behind the killings, as well as the demon doll's untold origins as a seemingly ordinary child who somehow became this notorious monster. —Brick211"
"American Gigolo
TV Series
2022–
TV-MA
55m", 
"The Black Phone
2021
R
1h 43m","Finney Blake is a shy but clever 13-year-old boy who is abducted by a sadistic killer and trapped in a soundproof basement where screaming is of no use. When a disconnected phone on the wall begins to ring, Finney discovers that he can hear the voices of the killer's previous victims. And they are dead-set on making sure that what happened to them doesn't happen to Finney. —thebucketrider"
"Criminal Minds
TV Series
2005–2020
TV-14
42m", 
"Bodies Bodies Bodies
2022
R
1h 34m","Nervous about meeting the smug, wealthy friends of her rehabilitated girlfriend Sophie, timid newcomer Bee arrives late to a booze-addled, drug-fuelled hurricane party at bored David's Georgian grey-stone manor house. As the storm rages outside, the party gets started, and the group of spoiled zoomers gathers around the host in the family mansion's luxurious drawing room to play a compelling, find-the-killer murder mystery game with the lights off. But it's all fun and games until someone loses an eye. And when one of the players ends up dead, mass hysteria takes over, and the petty, narcissistic backstabbers start to turn on each other. Now, cut off from the outside world, their lives depend on figuring out who's behind the frantic outburst of senseless, bloody violence. However, as bitter rivalries flare up and old wounds reopen, how can David's self-absorbed guests survive the night? —Nick Riganas"
"The Last of Us
TV Series
2023–","20 years after modern civilization has been destroyed, Joel, a hardened survivor, is hired to smuggle Ellie, a 14-year-old girl, out of an oppressive quarantine zone. What starts as a small job soon becomes a brutal heartbreaking journey as they both must traverse the U.S. and depend on each other for survival."
"Dahmer
2002
R
1h 41m","Before his arrest and conviction for serial murders, chocolate factory worker Jeffrey Dahmer hunts Milwaukee, Wisconsin, for young attractive males to turn into unconscious (eventually dead) human sex toys, current acts which often prompt memories of earlier killings and of dealings with his suspicious but unaware father. —statmanjeff"
"Only Murders in the Building
TV Series
2021–
TV-MA
30m","Follows three strangers (Steve Martin, Martin Short, and Selena Gomez) who share an obsession with true crime and suddenly find themselves wrapped up in one. When a grisly death occurs inside their exclusive Upper West Side apartment building, the trio suspects murder and employs their precise knowledge of true crime to investigate the truth. As they record a podcast of their own to document the case, the three unravel the complex secrets of the building which stretch back years. Perhaps even more explosive are the lies they tell one another. Soon, the endangered trio comes to realize a killer might be living amongst them as they race to decipher the mounting clues before it's too late."
"Black Bird
TV Mini Series
2022
TV-MA
5h 47m","After Jimmy Keene is sentenced to 10 years in a minimum security prison without parole, he cuts a deal with the FBI to enter maximum-security prison for the criminally insane and befriend a suspected serial killer, Larry Hall (Paul Walter Hauser). Keene's job is to elicit a confession from Hall in order to slam the door on Hall's appeal and find the buried bodies of as many as eighteen women. But is Hall a serial killer? Or a serial confessor?"
"House of the Dragon
TV Series
2022–
TV-MA","An internal succession war within House Targaryen at the height of its power, 172 years before the birth of Daenerys Targaryen."
"The Lord of the Rings: The Rings of Power
TV Series
2022–
TV-14","This epic drama is set thousands of years before the events of J.R.R. Tolkien’s The Hobbit and The Lord of the Rings, and will take viewers back to an era in which great powers were forged, kingdoms rose to glory and fell to ruin, unlikely heroes were tested, hope hung by the finest of threads, and the greatest villain that ever flowed from Tolkien’s pen threatened to cover all the world in darkness. Beginning in a time of relative peace, the series follows an ensemble cast of characters, both familiar and new, as they confront the long-feared re-emergence of evil to Middle-earth. From the darkest depths of the Misty Mountains, to the majestic forests of the elf-capital of Lindon, to the breathtaking island kingdom of Númenor, to the furthest reaches of the map, these kingdoms and characters will carve out legacies that live on long after they are gone. —Amazon Studios"
"Dahmer - Monster: The Jeffrey Dahmer Story
TV Mini Series
2022
TV-MA
8h 54m","One of America's most notorious serial killers, largely told from the point of view of Jeffrey Dahmer's victims, and dives deeply into the police incompetence and apathy that allowed the Wisconsin native to go on a multiyear killing spree. The series dramatizes at least 10 instances where Dahmer was almost apprehended but ultimately let go. The series also is expected to touch on ,Dahmer, a cleancut, good-looking guy, was repeatedly given a free pass by cops as well as by judges who were lenient when he had been charged with petty crimes."
"Blonde
2022
NC-17
2h 47m", 
"Andor
TV Series
2022–
TV-14
40m","The series will explore a new perspective from the Star Wars galaxy, focusing on Cassian Andor's journey to discover the difference he can make. The series brings forward the tale of the burgeoning rebellion against the Empire and how people and planets became involved. It's an era filled with danger, deception and intrigue where Cassian will embark on the path that is destined to turn him into a rebel hero. —Disney+ Media"
"She-Hulk: Attorney at Law
TV Series
2022–
TV-14
35m","Jennifer Walters navigates the complicated life of a single, 30-something attorney who also happens to be a green 6-foot-7-inch superpowered Hulk."
"The Walking Dead
TV Series
2010–2022
TV-MA
44m","Sheriff Deputy Rick Grimes gets shot and falls into a coma. When awoken he finds himself in a Zombie Apocalypse. Not knowing what to do he sets out to find his family, after he's done that, he gets connected to a group to become the leader. He takes charge and tries to help this group of people survive, find a place to live and get them food. This show is all about survival, the risks and the things you'll have to do to survive. —jzirkle1"
"Don't Worry Darling
2022
R
2h 3m",A 1950s housewife living with her husband in a utopian experimental community begins to worry that his glamorous company could be hiding disturbing secrets.
"Black Panther: Wakanda Forever
2022
2h 41m","Queen Ramonda, Shuri, M'Baku, Okoye and the Dora Milaje fight to protect the kingdom of Wakanda from intervening world powers in the wake of King T'Challa's death. As the Wakandans strive to embrace their next chapter, the heroes must band together with the help of War Dog Nakia and Everett Ross and forge a new path for their nation."
"Amsterdam
2022
R
2h 14m","In the 1930s, three friends witness a murder, are framed for it, and uncover one of the most outrageous plots in American history."
"Game of Thrones
TV Series
2011–2019
TV-MA
57m","In the mythical continent of Westeros, several powerful families fight for control of the Seven Kingdoms. As conflict erupts in the kingdoms of men, an ancient enemy rises once again to threaten them all. Meanwhile, the last heirs of a recently usurped dynasty plot to take back their homeland from across the Narrow Sea. —Sam Gray"
"Werewolf by Night
TV Special
2022
TV-14
52m","On a dark and somber night, a secret cabal of monster hunters emerge from the shadows and gather at the foreboding Bloodstone Temple following the death of their leader. In a strange and macabre memorial to the leader's life, the attendees are thrust into a mysterious and deadly competition for a powerful relic--a hunt that will ultimately bring them face to face with a dangerous monster. —Disney+"
"The Empress
TV Series
2022–
TV-MA","The 6 episodes will be shot in . - and will focus on the first months after Sisi's arrival at the court. It is the great love story between Elisabeth and Franz that is the focus of the narrative. Elisabeth is told as a young woman ahead of her time, rebelling against the rigid rules of the 19th century and the court. She meets Franz, a multi-layered ruler with fractures who played a major role in shaping modern European history. Against the backdrop of jealousy, intrigue and power struggles behind the scenes of the Habsburg court and the emerging question of freedom of the people, the audience is taken into a glittering illusory world in which young Sisi must fight for her place at court as well as for the right not only to be the figurehead of an ailing empire. —Netflix"
"Anne Rice's Interview with the Vampire
Original title: Interview with the Vampire
TV Series
2022–
TV-MA","In the year 2022, the vampire Louis de Pointe du Lac lives in Dubai and seeks to tell the story of his life or afterlife to renowned journalist Daniel Molloy. Beginning in early 20th-century New Orleans, Louis' story follows his relationship with the vampire Lestat du Lioncourt and their formed family, including teen fledgling Claudia. Together, the vampire family endures immortality in New Orleans and beyond. As the interview continues in Dubai, Molloy discovers the truths beneath Louis' story. —Mr_McPickle"
"Mr. Harrigan's Phone
2022
PG-13
1h 44m","Craig, a young boy living in a small town, befriends older, reclusive billionaire, Mr. Harrigan. The two form a bond over books and an iPhone, but when the man passes away, the boy discovers that not everything dead is gone, and finds himself able to communicate with his friend from the grave through the iPhone that was buried with him."
"American Horror Story
TV Series
2011–
TV-MA
1h","Physical and psychological horrors affect a decomposing family, workers and residents of an insane asylum, a coven of witches, a cast of circus freaks, the employees and guests at a struggling hotel, a family who moved into a mysterious farmhouse, the members of a small suburb in Michigan, the surviving members of the Apocalypse and the counselors of a creepy summer camp in this haunting anthology series, focusing on the themes of infidelity, sanity, oppression, discrimination, addiction and exploitation."
"The Greatest Beer Run Ever
2022
R
2h 6m",A man's story of leaving New York in 1967 to bring beer to his childhood buddies in the Army while they are fighting in Vietnam.
"Lou
2022
R
1h 47m","A massive storm rages. A young girl is kidnapped. Her mother, with no other option, teams up with the mysterious older woman next door to pursue the kidnapper a journey into the wilderness that will test their limits and expose dark and shocking secrets from their pasts."
"The Handmaid's Tale
TV Series
2017–
TV-MA
1h","A religion-based autocracy has taken over most of the United States, renaming the country Gilead. In this country women are second-class citizens. Anyone trying to escape is punished. One such person is June, who is captured while trying to escape with her husband and child and is sentenced to be a handmaid, bearing children for childless government officials. As a handmaid, June is renamed Offred. This is her story. —grantss"
"The Midnight Club
TV Series
2022–
TV-MA
1h","A group of terminally ill teenage patients resides at Brightcliffe Hospice, and together they create the Midnight Club. They meet in secret at midnight to tell horror stories. Together the group forms a pact, that whoever dies first would make the effort to contact the rest of the Midnight Club members from beyond the grave."
"Yellowstone
TV Series
2018–
TV-MA
1h","Yellowstone follows the Dutton family, led by John Dutton, who controls the largest contiguous ranch in the United States, under constant attack by those it borders - land developers, an Indian reservation, and America's first National Park. It is an intense study of a violent world far from media scrutiny - where land grabs make developers billions, and politicians are bought and sold by the world's largest oil and lumber corporations. Where drinking water poisoned by fracking wells and unsolved murders are not news: they are a consequence of living in the new frontier. It is the best and worst of America seen through the eyes of a family that represents both. —ahmetkozan"
"Better Call Saul
TV Series
2015–2022
TV-MA
46m","Before Saul Goodman, he was Jimmy McGill. And if you're calling Jimmy, you're in real trouble. The prequel to ""Breaking Bad"" follows small-time attorney, Jimmy McGill, as he transforms into Walter White's morally challenged lawyer, Saul Goodman. —zaahir1604"
"Breaking Bad
TV Series
2008–2013
TV-MA
49m","Walter H. White is a chemistry genius, but works as a chemistry teacher in an Albequerque, New Mexico high school. His life drastically changes when he's diagnosed with stage III terminal lung cancer, and given a short amount of time left to live: a mere matter of months. To ensure his handicapped son and his pregnant wife have a financial future, Walt uses his chemistry background to create and sell the world's finest crystal methamphetamine. To sell his signature ""blue meth,"" he teams up with Jesse Pinkman, a former student of his. The meth makes them very rich very quickly, but it attracts the attention of his DEA brother in law Hank. As Walt and Jesse's status in the drug world escalates, Walt becomes a dangerous criminal and Jesse becomes a hot-headed salesman. Hank is always hot on his tail, and it forces Walt to come up with new ways to cover his tracks. —halo1k, jackenyon"
"Luckiest Girl Alive
2022
R
1h 53m","A Sharp-Tongued New Yorker who appears to have it all: a sought-after position at a glossy magazine, a killer wardrobe, and a dream Nantucket wedding on the horizon. But when the director of a crime documentary invites her to tell her side of the shocking incident that took place when she was a teenager at the prestigious Brentley School, Ani is forced to confront a dark truth that threatens to unravel her meticulously crafted life."
"Top Gun: Maverick
2022
PG-13
2h 10m","Set 30 years after its predecessor, it follows Maverick's return to the United States Navy Strike Fighter Tactics Instructor program (also known as U.S. Navy-Fighter Weapons School - ""TOPGUN""), where he must confront his past as he trains a group of younger pilots, among them the son of Maverick's deceased best friend Lieutenant Nick ""Goose"" Bradshaw, USN. —Wrathzo"
"Stranger Things
TV Series
2016–
TV-14
51m","In a small town where everyone knows everyone, a peculiar incident starts a chain of events that leads to a child's disappearance, which begins to tear at the fabric of an otherwise-peaceful community. Dark government agencies and seemingly malevolent supernatural forces converge on the town, while a few of the locals begin to understand that more is going on than meets the eye. —Charles J."
"Last Seen Alive
2022
R
1h 35m",Will's soon-to-be ex-wife mysteriously vanishes at a gas station. He delves into the town's criminal underbelly while running from the authorities in a race against time to find her.
"The Woman King
2022
PG-13
2h 15m","The Woman King is the remarkable story of the Agojie, the all-female unit of warriors who protected the African Kingdom of Dahomey in the 1800s with skills and a fierceness unlike anything the world has ever seen. Inspired by true events, The Woman King follows the emotionally epic journey of General Nanisca (Oscar®-winner Viola Davis) as she trains the next generation of recruits and readies them for battle against an enemy determined to destroy their way of life. Some things are worth fighting for."
"Vesper
2022
1h 54m","After the collapse of Earth's ecosystem, Vesper, a 13-year-old girl struggling to survive with her paralyzed father, meets a woman with a secret who will force her to use her wits, strengths and bio-hacking abilities to fight for the possibility of having a future."
"The Crown
TV Series
2016–
TV-MA
58m","This show focuses on Queen Elizabeth II as a young newlywed faced with leading the world's most famous monarchy, while forging a relationship with legendary Prime Minister Sir Winston Churchill. The British Empire is in decline, the political world is in disarray, but a new era is dawning. Peter Morgan's masterfully researched scripts reveal the Queen's private journey behind the public façade with daring frankness. Prepare to see into the coveted world of power and privilege behind the locked doors of Westminster and Buckingham Palace. —Netflix"
"Cobra Kai
TV Series
2018–
TV-14
30m","Thirty years after their final confrontation at the 1984 All Valley Karate Tournament, Johnny Lawrence is at rock-bottom as an unemployed handyman haunted by his wasted life. However, when Johnny rescues bullied kid Miguel from tormentors, he is inspired to restart the notorious Cobra Kai dojo. However, this revitalization of his life and related misunderstandings find Johnny restarting his old rivalry with Daniel LaRusso, a successful businessman who may be happily married, but is missing an essential balance in life since the death of his mentor, Mr. Miyagi. Even as this antipathy festers, it finds itself reflected in their protegees as Miguel and his comrades are gradually poisoned by Cobra Kai's thuggish philosophy. Meanwhile, while Daniel's daughter Samantha finds herself in the middle of this conflict amidst false friends, Johnny's estranged miscreant son Robby finds himself inadvertently coming under Daniel's wing and flourishes in ways worthy of Mr. Miyagi. —Kenneth Chisholm (kchishol@rogers.com)"
"Grey's Anatomy
TV Series
2005–
TV-14
41m","A medical based drama centered around Meredith Grey, an aspiring surgeon and daughter of one of the best surgeons, Dr. Ellis Grey. Throughout the series, Meredith goes through professional and personal challenges along with fellow surgeons at Seattle Grace Hospital."
"Inside Man
TV Mini Series
2022
59m","A prisoner on death row in the US and a woman trapped in a cellar under an English vicarage, cross paths in the most unexpected way."
